Date,Defensive Day,Defensive Comp,Defensive Round,Defensive Venue,Defensive Result,Defensive Squad,Defensive Opponent,Defensive Start,Defensive Pos,Defensive Min,Defensive Tkl,Defensive TklW,Defensive Def 3rd,Defensive Mid 3rd,Defensive Att 3rd,Defensive Tkl.1,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err,Defensive Match Report
10-07-2020,Wed,Friendlies (M),Friendlies (M),Away,D 0–0,es Spain,pt Portugal,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
10-07-2020,Wed,Friendlies (M),Friendlies (M),Away,D 0–0,es Spain,pt Portugal,Y*,CM,61,,,,,,,,,,,,,,,,,Match Report
10-07-2020,Wed,Friendlies (M),Friendlies (M),Away,D 0–0,es Spain,pt Portugal,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
10-07-2020,Wed,Friendlies (M),Friendlies (M),Away,D 0–0,es Spain,pt Portugal,N,,45,,,,,,,,,,,,,,,,,Match Report
10-07-2020,Wed,Friendlies (M),Friendlies (M),Away,D 0–0,es Spain,pt Portugal,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
10-10-2020,Sat,UEFA Nations League,League A,Home,W 1–0,es Spain,ch Switzerland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
10-10-2020,Sat,UEFA Nations League,League A,Home,W 1–0,es Spain,ch Switzerland,Y,FW,87,,0,,,,,,,,,,,1,,,,Match Report
10-10-2020,Sat,UEFA Nations League,League A,Home,W 1–0,es Spain,ch Switzerland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
10-10-2020,Sat,UEFA Nations League,League A,Home,W 1–0,es Spain,ch Switzerland,Y,LB,90,,1,,,,,,,,,,,0,,,,Match Report
10-10-2020,Sat,UEFA Nations League,League A,Home,W 1–0,es Spain,ch Switzerland,Y,CB,90,,0,,,,,,,,,,,1,,,,Match Report
10-10-2020,Sat,UEFA Nations League,League A,Home,W 1–0,es Spain,ch Switzerland,Y,CM,90,,2,,,,,,,,,,,1,,,,Match Report
10-10-2020,Sat,UEFA Nations League,League A,Home,W 1–0,es Spain,ch Switzerland,N,,3,,1,,,,,,,,,,,0,,,,Match Report
13-10-2020,Tue,UEFA Nations League,League A,Away,L 0–1,es Spain,ua Ukraine,N,,33,,0,,,,,,,,,,,0,,,,Match Report
13-10-2020,Tue,UEFA Nations League,League A,Away,L 0–1,es Spain,ua Ukraine,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
13-10-2020,Tue,UEFA Nations League,League A,Away,L 0–1,es Spain,ua Ukraine,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
13-10-2020,Tue,UEFA Nations League,League A,Away,L 0–1,es Spain,ua Ukraine,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
